"","porifera","bryozoa","ascidiacea_c","ascidiacea_s","foraminifera","other_algae","annelida","bivalvia","hydrozoa","prokariotic_biotas","Cirripedia","No_Recruitment","Sediments","CCA"
"P50ARMS1A",9.4905989280426,0.932292450149593,1.61044092397692,0,0.316944959802103,0,20.7231336225657,21.4951070352889,2.12971282593376,0.223214285714286,0,28.6860766821006,5.70966174475311,8.68281654167244
"P50ARMS1B",4.8929387612335,1.42731056128663,5.31433680373164,0,0,0,27.7715047404182,17.2996694581936,0,1.45920555736351,0,25.0340327337548,6.79370472802274,10.0072966559954
"P50ARMS1C",6.47521908966897,2.96615381079426,0.994386390920004,0,0.960153875379939,0,18.031778781681,25.6260101239192,0.499188311688312,2.85289087383545,0,27.0329138849758,3.26174197997886,11.2995628771582
"P50ARMS2A",25.73636219808,10.9701178268092,10.9226109616281,0.127551020408163,4.55433539506666,0,9.03947853013483,1.12087470123184,2.9013067322606,5.06919743705789,0,19.354429276151,2.46039369695246,7.74334222421925
"P50ARMS2B",2.89935698016219,28.3052696112926,17.5010171306523,0,4.48771094976452,0,9.73154007440519,0.183823529411765,0.499084249084249,4.16353268504541,0,18.5090610730522,0,13.7196037171297
"P50ARMS2C",23.8683968365624,8.85364002391191,12.366510430173,0,6.72933850629072,0,6.48625351177247,0.808640763997907,0.760297778154921,4.19693816802834,0,26.1376852469979,0.776041666666667,9.01625706744388
"P50ARMS3A",7.40363890343613,4.12440683871078,3.6567857659258,0,1.34660953220057,0,7.57159562858099,25.2308727734988,0.289473684210526,0.130208333333333,0,32.89586436202,8.66997818227871,8.68056599580431
"P50ARMS3B",14.7398850877432,2.40907450959218,3.20398811137793,0,0.659465914025185,0,14.857627162534,14.8894274366922,0,0.922051954047864,0,30.8150425176661,12.8845963030812,4.61884100324031
"P50ARMS3C",16.106497117395,2.3686505896239,2.50349657704463,0,0.983220316741779,0,14.8279712741998,11.6948594459938,0.130208333333333,0.681583527936343,0,36.3644097800284,11.3707215581824,2.96838147952055
"RODARMS1A",1.58719902607047,5.90018149005393,1.36595344484208,1.19981080114791,9.43560121269261,0.335946248600224,9.25480617012195,0.707880245277223,0.611995104039168,5.94967279202753,5.83403298546045,23.1320975187461,9.10563378685321,25.5791891740671
"RODARMS1B",4.01248008965899,5.01273973427766,0.735988175174376,0.469355206197311,5.58272920639116,0.243561030235162,9.05409167989404,1.2937929931211,1.87287244124974,7.22964699344343,0.662560656961553,22.33248072132,11.7237506683075,29.773950403768
"RODARMS1C",10.9885718895477,1.72848437046165,1.90374277600321,0.426065162907268,9.21858564741443,0.109649122807018,8.37402255804703,0.262358022716365,0.134952766531714,8.46783003226146,0.109649122807018,21.1611619934514,7.80211166213406,29.3128148729096
"RODARMS2A",9.33384497680898,23.5205414783235,7.6337936343366,0.253682987957699,8.44242753405197,2.53639296559418,5.49155311962658,3.41451615987861,0.563853242127876,2.79700794676476,3.2657438163931,7.82007559660527,4.364456401023,20.5621101405079
"RODARMS2B",5.70197572525435,38.7062077305182,4.85208486013063,0,3.94305807429355,0.3336132885405,5.13182283626554,0.789903005736708,1.7641882060775,2.27917858322133,1.26090749849772,9.35123160139919,3.83222369538646,22.0536048946783
"RODARMS2C",6.7335580118893,31.0165691039568,3.6136775607192,0.611995104039168,3.95165218434191,0,6.70406460492751,5.17633437642075,0.109649122807018,2.2570510181449,4.96414875897289,10.8849051116859,2.760513474136,21.2158815679586
